"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Process","GO.Component","Chromosome.annotation"
0.999975947221547,0.0118330236650363,-3.29849348511816,-4.5655238529579,-3.68090928055189,"c1035","hypothetical protein","c1035","","","","NC_004431.1 (999895..1000023, complement)"
0.999975947221547,0.0172215871291374,-3.04063999703546,-4.56802662578167,-2.47403604466434,"c2119///Z2749///arpB///ECs2427","hypothetical protein///hypothetical protein///pseudo///hypothetical protein","c2119","","","","NC_004431.1 (1959899..1960090)///NC_002655.2 (2478008..2479906)///NC_000913.3 (1803094..1804993)///NC_002695.1 (2402806..2404704)"
0.999975947221547,0.0384504167960363,-2.50373914900869,-4.57410076685245,-2.05225575266036,"ECs5595///deoA///deoA///deoA","hypothetical protein///thymidine phosphorylase///thymidine phosphorylase///thymidine phosphorylase","ECs5595","","nucleobase-containing small molecule interconversion","","NC_002695.1 (5476071..5476202)///NC_004431.1 (5206898..5208220)///NC_002655.2 (5506065..5507387)///NC_000913.3 (4618229..4619551)"
0.999975947221547,0.0463216095106557,-2.38108511535415,-4.57565294664369,-3.5258930546606,"ulaA","PTS system ascorbate-specific transporter subunit IIC","c5281","","","","NC_004431.1 (5028048..5029445)"
0.999975947221547,0.0537128139030404,-2.28379554346328,-4.5769253602245,-1.71096033274721,"wrbA///Z1504///wrbA","TrpR binding protein WrbA///amino terminal fragment of WrbA///NAD(P)H:quinone oxidoreductase","Z1504","","tryptophan biosynthetic process","cytoplasm","NC_004431.1 (1100781..1101377, complement)///NC_002655.2 (1392479..1392541, complement)///NC_000913.3 (1067112..1067708, complement)"
0.999975947221547,0.0571734096513977,-2.24278853710481,-4.57747213839349,-1.54822836965339,"Z3648///fryA///ECs3263","PTS system enzyme IIA component, enzyme I///putative PTS enzyme: Hpr, enzyme I and IIA components///PTS system enzyme IIA component","b2383","","phosphoenolpyruvate-dependent sugar phosphotransferase system","","NC_002655.2 (3300084..3302579, complement)///NC_000913.3 (2501990..2504485, complement)///NC_002695.1 (3230124..3232619, complement)"
0.999975947221547,0.0679296504788052,-2.12955020398947,-4.57901244229813,-1.30327075644939,"c2169","hypothetical protein","c2169","","","","NC_004431.1 (2005959..2006123)"
0.999975947221547,0.0699774614434813,-2.11002594788468,-4.57928230775489,-1.24300679721197,"relB","antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor","b1564","","","cytoplasm","NC_000913.3 (1645633..1645872, complement)"
0.999975947221547,0.0739036532501176,-2.07412156804014,-4.57978168583583,-1.7690210246712,"prlC","oligopeptidase A","c4297","","","","NC_004431.1 (4077098..4079179, complement)"
0.999975947221547,0.0810776675722679,-2.01311144880073,-4.58063903518198,-1.21599475022503,"c4294","hypothetical protein","c4294","","","","NC_004431.1 (4074686..4074865, complement)"
0.999975947221547,0.0824753862683843,2.00184276041822,-4.58079853933063,3.93398009911437,"Z2087","hypothetical protein","Z2087","","","","NC_002655.2 (1881371..1881436, complement)"
0.999975947221547,0.083108640887124,-1.99679858260965,-4.58087004938327,-2.14317385461289,"Z4907///ECs4376","hypothetical protein///hypothetical protein","Z4907","","","","NC_002655.2 (4452831..4453946)///NC_002695.1 (4385605..4386720)"
0.999975947221547,0.0832303351193908,-1.99583352699585,-4.58088373852368,-1.57109015658176,"fhuF","ferric iron reductase involved in ferric hydroximate transport","b4367","","protein folding","cytoplasm","NC_000913.3 (4604875..4605663, complement)"
0.999975947221547,0.0836110181164121,1.99282350974018,-4.5809264510619,1.94872887434218,"hofB","T2SE secretion family protein; P-loop ATPase superfamily protein","b0107","","","pilus","NC_000913.3 (115714..117099, complement)"
0.999975947221547,0.0837708621869006,-1.99156362300258,-4.58094433618456,-1.14531741131536,"ompC","outer membrane porin protein C","b2215","","","cell outer membrane///peptidoglycan-based cell wall","NC_000913.3 (2311646..2312749, complement)"
